User Story,What We Are Trying to Achieve,Repo References,Implementation Steps,Test Steps,Expected Results
"As a security admin, I want every user who clicks the Report button to receive an acknowledgement (Reporter Thanks Bridge / Playbook P3), so that reporters are never left without confirmation even when the message was already remediated and AIR Auto-Feedback does not fire.","Guarantee every user who clicks Report gets an acknowledgement, closing the CLEAR parity gap where MDO's native AIR Auto-Feedback stays silent on already-remediated mail and the reporter hears nothing.","https://github.com/goodnessibeh/TRAP-MDO-Migration/blob/main/automation/logic-apps/P3-notify-reporter-bridge/README.md
https://github.com/goodnessibeh/TRAP-MDO-Migration/blob/main/10-logic-apps-playbook-library.md
https://github.com/goodnessibeh/TRAP-MDO-Migration/blob/main/08-abuse-mailbox-and-user-reporting.md","1. Provision the Logic App (Standard) workflow from automation/logic-apps/P3-notify-reporter-bridge/playbook.json.
2. Set the parameters from parameters.example.json (SOC service mailbox, Graph app registration with Mail.Send).
3. Wire the trigger to the ""Email reported by user"" Sentinel incident.
4. Wire the Graph sendMail action to send the ""thanks for reporting"" template from the SOC service mailbox.
5. Add a de-duplication guard so no acknowledgement is sent when AIR Auto-Feedback also fired.
6. Validate the template with automation/tests/Test-LogicAppTemplate.ps1 and deploy in Phase 1.","1. Identify a phishing message that has already been remediated (so native AIR Auto-Feedback will not fire).
2. From a test mailbox, click the Report button on that already-remediated message.
3. Confirm the ""Email reported by user"" Sentinel incident is raised.
4. Observe the Logic App (Standard) P3 trigger on that incident.
5. Check the reporter's inbox for the acknowledgement mail.
6. Verify the mail originates from the SOC service mailbox via Graph sendMail.","1. The ""Email reported by user"" Sentinel incident is created.
2. Playbook P3 triggers within the expected window.
3. The reporter receives a ""thanks for reporting"" acknowledgement email even though the message was pre-remediated.
4. The acknowledgement is sent from the SOC service mailbox and renders correctly.
5. No duplicate acknowledgement is sent if AIR Auto-Feedback also fires."
"As a security admin, I want to retroactively pull already-delivered mail when a threat-intel indicator matches beyond ZAP's 48-hour window (TI-Sweep Remediation / Playbook P2), so that I can remediate the over-48h case that ZAP cannot.","Retroactively pull already-delivered mail when a threat-intel indicator matches, beyond ZAP's hard 48-hour window, replacing ZAP for the over-48h case which is the single biggest remediation gap versus TRAP.","https://github.com/goodnessibeh/TRAP-MDO-Migration/blob/main/automation/logic-apps/P2-ti-sweep-remediate/README.md
https://github.com/goodnessibeh/TRAP-MDO-Migration/blob/main/09-kql-detection-library.md
https://github.com/goodnessibeh/TRAP-MDO-Migration/blob/main/10-logic-apps-playbook-library.md
https://github.com/goodnessibeh/TRAP-MDO-Migration/blob/main/07-graph-and-exchange-remediation.md","1. Deploy the scheduled Sentinel analytics rule (KQL Q5) that joins EmailEvents against threat-intel indicators every 30 min (from 09-kql-detection-library.md).
2. Provision the Logic App from automation/logic-apps/P2-ti-sweep-remediate/playbook.json and set parameters (Teams channel, Defender Take Action app registration, Tenant Allow/Block List).
3. Wire the incident trigger to post a Teams approval card to the SOC channel.
4. On approval, call the Defender XDR Take Action API to soft-delete the matching mail.
5. Add the matched IOCs to the Tenant Allow/Block List.
6. Configure the auto-approve branch for repeat-bad senders.
7. Validate with Test-LogicAppTemplate.ps1 and deploy in Phase 3 (build first).","1. Seed a known-bad threat-intel indicator (IOC) that matches a message delivered more than 48 hours ago.
2. Wait for (or manually run) the scheduled Sentinel analytics rule (KQL Q5) that joins EmailEvents against TI indicators every 30 min.
3. Confirm an incident is raised.
4. Verify the Logic App posts a Teams approval card.
5. Approve the action from Teams.
6. Confirm the Defender XDR Take Action API soft-delete executes against the matching mail.
7. Verify the IOCs are added to the Tenant Allow/Block List.
8. Repeat with a repeat-bad sender to confirm the auto-approve path.","1. The Q5 analytics rule matches the over-48h delivered mail against the IOC and raises an incident.
2. A Teams approval card is posted to the SOC channel.
3. On approval, the matching mail is soft-deleted via the Take Action API across affected mailboxes.
4. The IOCs are blocked in the Tenant Allow/Block List.
5. For repeat-bad senders, the auto-approve path executes without manual approval.
6. The over-48h message that ZAP could not reach is successfully remediated."
"As a security admin, I want to follow a phish through internal forwards and redirects and pull every internal copy (Forward-Trace Remediation / Playbook P4), so that no internally-forwarded copy of a phish is left behind and external forwards are flagged for follow-up.","Follow a phish through internal forwards and redirects and pull every internal copy, while detecting and flagging (but not pulling) external forwards, so the telemetry-boundary residual is surfaced rather than silently dropped.","https://github.com/goodnessibeh/TRAP-MDO-Migration/blob/main/automation/logic-apps/P4-forward-trace-remediate/README.md
https://github.com/goodnessibeh/TRAP-MDO-Migration/blob/main/09-kql-detection-library.md
https://github.com/goodnessibeh/TRAP-MDO-Migration/blob/main/10-logic-apps-playbook-library.md
https://github.com/goodnessibeh/TRAP-MDO-Migration/blob/main/12-limitations-and-gaps.md","1. Deploy hunting query Q4 (enumerate forwarded/redirected internal copies, including nested forwards) from 09-kql-detection-library.md.
2. Provision the Logic App from automation/logic-apps/P4-forward-trace-remediate/playbook.json with its parameters.
3. Wire P4 to run Q4 on the NetworkMessageId and soft-delete each internal copy via the Take Action API.
4. Add the second query that flags external forwards to the SOC as a manual follow-up item.
5. Ensure the external-forward residual is reported, not silently dropped.
6. Validate the template with Test-LogicAppTemplate.ps1 and deploy in Phase 3.","1. Deliver a test phish to a mailbox and have the recipient forward/redirect it to several internal mailboxes (including a nested forward).
2. Also forward one copy to an external address.
3. Trigger Playbook P4.
4. Confirm hunting query Q4 enumerates all forwarded internal copies.
5. Verify each internal copy is soft-deleted via the Take Action API.
6. Confirm the second query flags the external forward to the SOC.","1. Q4 enumerates all internal forwarded/redirected copies, including nested forwards.
2. Every internal copy is soft-deleted via the Take Action API.
3. The external forward is detected and flagged to the SOC as a manual follow-up item.
4. The external forward is NOT (and cannot be) pulled, and this residual is clearly surfaced rather than silently dropped."
"As a security admin, I want phish incidents to be remediated end-to-end automatically with the right tool for the volume (Phish-Remediate workhorse / Playbook P1), so that I get TRAP-equivalent automated tenant-wide pulls instead of running the manual Take Action wizard.","Automate phish remediation end-to-end: enumerate recipients and pull the message tenant-wide with the right tool for the volume, replacing TRAP's auto-remediation rather than relying on the manual Take Action wizard.","https://github.com/goodnessibeh/TRAP-MDO-Migration/blob/main/automation/logic-apps/P1-phish-remediate/README.md
https://github.com/goodnessibeh/TRAP-MDO-Migration/blob/main/10-logic-apps-playbook-library.md
https://github.com/goodnessibeh/TRAP-MDO-Migration/blob/main/09-kql-detection-library.md
https://github.com/goodnessibeh/TRAP-MDO-Migration/blob/main/02-architecture-overview.md","1. Build the Logic App on the P2/P4 structural reference (per the P1 README) and drop the ARM template at automation/logic-apps/P1-phish-remediate/playbook.json.
2. Configure the Sentinel incident trigger on the MailMessage entity.
3. Add recipient enumeration (Q1) and the volume switch (10 or fewer / 11 to 200 / over 200 or over 10 per mailbox hands off to P1b).
4. Wire the single-stage Teams approval card and keep soft-delete as the default.
5. Call the Take Action API to soft-delete tenant-wide on the direct-API path.
6. Add URL-click correlation (Q2) and post the incident comment plus Teams summary.
7. Resolve org-specific policy decisions (VIP watchlist, approver routing, delete policy) and validate with Test-LogicAppTemplate.ps1.","1. Raise a phish incident in Sentinel that affects 10 or fewer recipients.
2. Confirm P1 triggers on the incident.
3. Verify recipient enumeration runs (Q1).
4. Confirm the volume switch routes to the direct-API path (10 or fewer).
5. Approve the single-stage approval.
6. Verify Take Action API soft-delete executes tenant-wide.
7. Confirm URL-click correlation runs (Q2).
8. Check the incident comment and Teams summary are posted.","1. P1 triggers on the phish incident.
2. Recipients are correctly enumerated via Q1.
3. The volume switch selects the correct path for 10-or-fewer recipients.
4. After single-stage approval, the message is soft-deleted tenant-wide via the Take Action API.
5. URL-click correlation (Q2) results are captured.
6. An incident comment and Teams summary are posted with the remediation outcome."
"As a security admin, I want large campaigns that exceed direct-API thresholds to be remediated in safe paginated chunks (Phish-Remediate-Bulk / Playbook P1b), so that remediation does not stall on the per-mailbox Compliance Search-Action 10-item cap or the 200-recipient threshold.","Remediate large campaigns that exceed direct-API thresholds in safe paginated chunks so remediation does not stall on the per-mailbox Compliance Search-Action 10-item cap or the 200-recipient threshold.","https://github.com/goodnessibeh/TRAP-MDO-Migration/blob/main/automation/logic-apps/P1b-phish-remediate-bulk/README.md
https://github.com/goodnessibeh/TRAP-MDO-Migration/blob/main/10-logic-apps-playbook-library.md","1. Provision the Logic App from automation/logic-apps/P1b-phish-remediate-bulk/playbook.json as an HTTP-callable paginator.
2. Configure P1 to hand off to P1b's HTTP entry point above the volume threshold.
3. Set pagination to chunks of 50 recipients with a 12-second inter-chunk delay.
4. Implement the Compliance Search loop fallback for cases where Take Action is unavailable.
5. Verify no silent truncation across chunks and validate with Test-LogicAppTemplate.ps1.","1. Raise a phish incident affecting over 200 recipients (or over 10 messages per mailbox).
2. Confirm P1 hands off to P1b via the HTTP-callable entry point.
3. Verify P1b paginates recipients into chunks of 50.
4. Confirm a 12-second inter-chunk delay is applied between chunks.
5. Force a scenario where Take Action is unavailable and confirm fallback to the Compliance Search loop.
6. Verify all recipients across all chunks are remediated.","1. P1 correctly detects the over-threshold volume and hands off to P1b.
2. P1b processes recipients in chunks of 50 with a 12-second delay between chunks.
3. Where Take Action is unavailable, P1b falls back to the Compliance Search loop.
4. The per-mailbox 10-item cap does not cause remediation to stall.
5. Every recipient in the large campaign is remediated with no silent truncation."
"As a security admin, I want external auto-forwarding to be blocked by default and detected in near real time (External auto-forward detection and block / Sentinel rule Q7 plus mail-flow rule), so that the un-closeable external-forward data-leak class is mitigated.","Mitigate the un-closeable external-forward data-leak class by blocking external auto-forward by default and detecting it in near real time, the mitigation TRAP-equivalent organisations always end up implementing.","https://github.com/goodnessibeh/TRAP-MDO-Migration/blob/main/09-kql-detection-library.md
https://github.com/goodnessibeh/TRAP-MDO-Migration/blob/main/07-graph-and-exchange-remediation.md
https://github.com/goodnessibeh/TRAP-MDO-Migration/blob/main/12-limitations-and-gaps.md
https://github.com/goodnessibeh/TRAP-MDO-Migration/blob/main/Sentinel/analytic%20rules/sentinel/33-anomalous-email-forwarding-rule.md","1. Deploy the near-real-time Sentinel analytics rule Q7 on Set-Mailbox -ForwardingSmtpAddress and inbox-rule ForwardTo/RedirectTo audit events at severity High (09-kql-detection-library.md; starter rule 33-anomalous-email-forwarding-rule.md).
2. Add a Sentinel automation rule that disables the offending rule and forces a password reset.
3. Create the Exchange mail-flow (transport) rule that blocks external auto-forwarded mail by default.
4. Configure the per-exception approval path for approved external forwards.
5. Test against both the inbox-rule and mailbox-forwarding event types.","1. As a test user, create an inbox rule with ForwardTo/RedirectTo to an external address, and separately set Set-Mailbox -ForwardingSmtpAddress to an external address.
2. Confirm the near-real-time Sentinel analytics rule Q7 fires on the audit events.
3. Verify the incident severity is High.
4. Confirm the automation rule disables the offending rule and forces a password reset.
5. Send a test message that would auto-forward externally and confirm the Exchange mail-flow rule blocks it.
6. Test the per-exception approval path for an approved external forward.","1. Q7 raises a High-severity incident on both the inbox-rule forward and the mailbox ForwardingSmtpAddress event.
2. The automation rule disables the forwarding rule and triggers a forced password reset.
3. The Exchange mail-flow rule blocks external auto-forwarded mail by default.
4. An approved exception is allowed through the per-exception approval path.
5. The external-forward leak class is demonstrably mitigated."
"As a security admin, I want a tiered human-approval gate for actions touching VIP mailboxes (VIP / Two-Stage Approval / Playbook P6), so that high-sensitivity actions follow a tiered-approval governance model with full audit.","Apply a tiered human-approval gate with full audit for actions touching VIP mailboxes, matching TRAP's approval queues, so high-sensitivity actions follow a tiered-approval governance model.","https://github.com/goodnessibeh/TRAP-MDO-Migration/blob/main/automation/logic-apps/P6-two-stage-approval-vip/README.md
https://github.com/goodnessibeh/TRAP-MDO-Migration/blob/main/10-logic-apps-playbook-library.md
https://github.com/goodnessibeh/TRAP-MDO-Migration/blob/main/06-sentinel-soar-orchestration.md","1. Create the VIP_Users (VIP_Mailboxes) Sentinel watchlist.
2. Provision the Logic App from automation/logic-apps/P6-two-stage-approval-vip/playbook.json with its parameters.
3. Add the Sentinel incident condition that matches the VIP watchlist.
4. Send a Teams adaptive-card approval to SOC L1, escalating to SOC Manager / Legal on timeout or escalate.
5. Create the custom ApprovalAudit_CL Sentinel table and log every state transition to it.
6. Expose the HTTP callback so P1 can invoke P6 (pass its URL as P1's -VipEscalationPlaybook).","1. Add a test mailbox to the VIP_Users watchlist.
2. Trigger a remediation action (e.g. from P1) against that VIP mailbox.
3. Confirm the Sentinel incident condition detects the VIP_Users match.
4. Verify a Teams adaptive-card approval is sent to SOC L1.
5. Let the approval time out (or choose escalate) and confirm escalation to SOC Manager / Legal.
6. Approve and confirm the action proceeds.
7. Verify every state transition is logged to the ApprovalAudit_CL table.","1. The VIP_Users watchlist match is detected on the incident.
2. A two-stage approval flow starts with a Teams adaptive card to SOC L1.
3. On timeout or escalate, the request escalates to SOC Manager / Legal.
4. The action only proceeds after approval.
5. Every state transition is written to the custom ApprovalAudit_CL Sentinel table.
6. P6 is correctly invoked when called via HTTP from P1."
"As a security admin, I want full remediation coverage when a phish was sent to a distribution list including nested DLs (DL-Expand-Remediate / Playbook P5), so that I have audit-grade proof that every DL member was covered.","Prove full remediation coverage when a phish hits a distribution list, including nested DLs, producing audit-grade proof that every member was accounted for.","https://github.com/goodnessibeh/TRAP-MDO-Migration/blob/main/automation/logic-apps/P5-dl-expand-remediate/README.md
https://github.com/goodnessibeh/TRAP-MDO-Migration/blob/main/10-logic-apps-playbook-library.md
https://github.com/goodnessibeh/TRAP-MDO-Migration/blob/main/07-graph-and-exchange-remediation.md","1. Provision the Logic App from automation/logic-apps/P5-dl-expand-remediate/playbook.json with a Graph app registration (GroupMember.Read.All).
2. Resolve DL members via Graph transitiveMembers with the 500-member safety cap enforced and reported when reached.
3. Confirm delivery per member via Q8.
4. Run Take Action across the resolved member cluster.
5. Emit the coverage-proof artifact and validate the template with Test-LogicAppTemplate.ps1.","1. Send a test phish to a distribution list that contains a nested DL.
2. Trigger Playbook P5.
3. Confirm the Logic App resolves members via Graph transitiveMembers.
4. Verify the 500-member safety cap is enforced.
5. Confirm delivery is checked per member (Q8).
6. Verify Take Action runs across the resolved cluster.","1. P5 resolves all DL members including nested DLs via transitiveMembers.
2. The 500-member safety cap is enforced and reported when reached.
3. Per-member delivery is confirmed via Q8.
4. Take Action runs across the full member cluster.
5. Audit-grade coverage proof is produced showing every member was accounted for."
"As a security admin, I want incident severity boosted based on who reported or who was targeted (Reporter / VAP prioritisation / Sentinel watchlist plus automation rule), so that VIP-targeted and high-value-reporter incidents are prioritised.","Prioritise VIP-targeted and high-value-reporter incidents by boosting severity based on who reported or who was targeted, replicating TRAP's VAP scoring.","https://github.com/goodnessibeh/TRAP-MDO-Migration/blob/main/06-sentinel-soar-orchestration.md
https://github.com/goodnessibeh/TRAP-MDO-Migration/blob/main/09-kql-detection-library.md
https://github.com/goodnessibeh/TRAP-MDO-Migration/blob/main/10-logic-apps-playbook-library.md","1. Populate the VIP_Users and Frequent_Reporters Sentinel watchlists with the relevant entries.
2. Create the automation rule that raises incident severity on a VIP_Users target match.
3. Add reporter-based prioritisation for Frequent_Reporters entries.
4. Configure reporter-volume throttling to suppress noise from high-volume reporters.","1. Populate the VIP_Users and Frequent_Reporters watchlists with test entries.
2. Generate an incident targeting a VIP_Users entry.
3. Confirm the automation rule raises the incident severity.
4. Generate an incident reported by a Frequent_Reporters entry.
5. Verify reporter-volume throttling applies for a high-volume reporter.","1. Incidents targeting VIP_Users entries have their severity boosted by the automation rule.
2. Incidents from Frequent_Reporters are prioritised correctly.
3. Reporter-volume throttling limits noise from high-volume reporters.
4. Severity adjustment reflects the watchlist driver accurately."
"As a security admin, I want to see whether each recipient read the message before it was pulled (Read-status visibility / KQL Q6 plus Logic App into workbook), so that I have investigation context that EmailEvents alone cannot provide.","Give analysts per-recipient read/unread context before the message was pulled, the investigation context that EmailEvents alone cannot provide and that TRAP showed inline.","https://github.com/goodnessibeh/TRAP-MDO-Migration/blob/main/09-kql-detection-library.md
https://github.com/goodnessibeh/TRAP-MDO-Migration/blob/main/07-graph-and-exchange-remediation.md
https://github.com/goodnessibeh/TRAP-MDO-Migration/blob/main/automation/workbooks/README.md
https://github.com/goodnessibeh/TRAP-MDO-Migration/blob/main/02-architecture-overview.md","1. Register an app with app-only Mail.Read and scope it with an Exchange Application Access Policy to the SOC mailbox set.
2. Build the Logic App that fans out per recipient via Graph /messages?$select=isRead.
3. Aggregate the results using KQL Q6 (09-kql-detection-library.md).
4. Surface a per-recipient read-status tile in the Sentinel workbook (automation/workbooks).
5. Verify no mailbox outside the policy scope is reachable.","1. Deliver a test phish to multiple recipients; have some read it and others leave it unread.
2. Trigger the read-status Logic App.
3. Confirm it fans out per recipient via Graph /messages?$select=isRead.
4. Verify app-only Mail.Read access is correctly scoped by the Application Access Policy.
5. Confirm results aggregate into the Sentinel workbook tile.","1. The Logic App retrieves isRead status per recipient.
2. Read vs unread status matches the actual test state for each recipient.
3. The Application Access Policy correctly scopes app-only Mail.Read access.
4. The Sentinel workbook tile aggregates and displays per-recipient read status.
5. No mailbox outside the policy scope is accessible."
